i,x,y
640,2,29
641,3,29
642,4,29
643,5,29
644,6,29
645,7,29
646,8,29
647,9,29
648,10,29
649,11,29
650,12,29
651,13,29
652,14,29
653,15,29
654,16,29
655,17,29
656,18,29
657,19,29
658,20,29
659,21,29
660,0,30
661,1,30
662,2,30
663,3,30
664,4,30
665,5,30
666,6,30
667,7,30
668,8,30
669,9,30
670,10,30
671,11,30
672,12,30
673,13,30
674,14,30
675,15,30
676,16,30
677,17,30
678,18,30
679,19,30
680,20,30
681,21,30
682,0,31
683,1,31
684,2,31
685,3,31
686,4,31
687,5,31
688,6,31
689,7,31
690,8,31
691,9,31
692,10,31
693,11,31
694,12,31
695,13,31
696,14,31
697,15,31
698,16,31
699,17,31
700,18,31
701,19,31
702,20,31
703,21,31
704,0,32
705,1,32
706,2,32
707,3,32
708,4,32
709,5,32
710,6,32
711,7,32
712,8,32
713,9,32
714,10,32
715,11,32
716,12,32
717,13,32
718,14,32
719,15,32
720,16,32
721,17,32
722,18,32
723,19,32
724,20,32
725,21,32
726,0,33
727,1,33
728,2,33
729,3,33
730,4,33
731,5,33
732,6,33
733,7,33
734,8,33
735,9,33
736,10,33
737,11,33
738,12,33
739,13,33
740,14,33
741,15,33
742,16,33
743,17,33
744,18,33
745,19,33
746,20,33
747,21,33
748,0,34
749,1,34
750,2,34
751,3,34
752,4,34
753,5,34
754,6,34
755,7,34
756,8,34
757,9,34
758,10,34
759,11,34
760,12,34
761,13,34
762,14,34
763,15,34
764,16,34
765,17,34
766,18,34
767,19,34
768,20,34
769,21,34
770,0,35
771,1,35
772,2,35
773,3,35
774,4,35
775,5,35
776,6,35
777,7,35
778,8,35
779,9,35
780,10,35
781,11,35
782,12,35
783,13,35
784,14,35
785,15,35
786,16,35
787,17,35
788,18,35
789,19,35
790,20,35
791,21,35
792,0,36
793,1,36
794,2,36
795,3,36
796,4,36
797,5,36
798,6,36
799,7,36
800,8,36
801,9,36
802,10,36
803,11,36
804,12,36
805,13,36
806,14,36
807,15,36
808,16,36
809,17,36
810,18,36
811,19,36
812,20,36
813,21,36
814,0,37
815,1,37
816,2,37
817,3,37
818,4,37
819,5,37
820,6,37
821,7,37
822,8,37
823,9,37
824,10,37
825,11,37
826,12,37
827,13,37
828,14,37
829,15,37
830,16,37
831,17,37
832,18,37
833,19,37
834,20,37
835,21,37
836,0,38
837,1,38
838,2,38
839,3,38
840,4,38
841,5,38
842,6,38
843,7,38
844,8,38
845,9,38
846,10,38
847,11,38
848,12,38
849,13,38
850,14,38
851,15,38
852,16,38
853,17,38
854,18,38
855,19,38
856,20,38
857,21,38
858,0,39
859,1,39
860,2,39
861,3,39
862,4,39
863,5,39
864,6,39
865,7,39
866,8,39
867,9,39
868,10,39
869,11,39
870,12,39
871,13,39
872,14,39
873,15,39
874,16,39
875,17,39
876,18,39
877,19,39
878,20,39
879,21,39
880,0,40
881,1,40
882,2,40
883,3,40
884,4,40
885,5,40
886,6,40
887,7,40
888,8,40
889,9,40
890,10,40
891,11,40
892,12,40
893,13,40
894,14,40
895,15,40
896,16,40
897,17,40
898,18,40
899,19,40
900,20,40
901,21,40
902,0,41
903,1,41
904,2,41
905,3,41
906,4,41
907,5,41
908,6,41
909,7,41
910,8,41
911,9,41
912,10,41
913,11,41
914,12,41
915,13,41
916,14,41
917,15,41
918,16,41
919,17,41
920,18,41
921,19,41
922,20,41
923,21,41
924,0,42
925,1,42
926,2,42
927,3,42
928,4,42
929,5,42
930,6,42
931,7,42
932,8,42
933,9,42
934,10,42
935,11,42
936,12,42
937,13,42
938,14,42
939,15,42
940,16,42
941,17,42
942,18,42
943,19,42
944,20,42
945,21,42
946,0,43
947,1,43
948,2,43
949,3,43
950,4,43
951,5,43
952,6,43
953,7,43
954,8,43
955,9,43
956,10,43
957,11,43
958,12,43
959,13,43
960,14,43
961,15,43
962,16,43
963,17,43
964,18,43
965,19,43
966,20,43
967,21,43
968,0,44
969,1,44
970,2,44
971,3,44
972,4,44
973,5,44
974,6,44
975,7,44
976,8,44
977,9,44
978,10,44
979,11,44
980,12,44
981,13,44
982,14,44
983,15,44
984,16,44
985,17,44
986,18,44
987,19,44
988,20,44
989,21,44
990,0,45
991,1,45
992,2,45
993,3,45
994,4,45
995,5,45
996,6,45
997,7,45
998,8,45
999,9,45
1000,10,45
1001,11,45
1002,12,45
1003,13,45
1004,14,45
1005,15,45
1006,16,45
1007,17,45
1008,18,45
1009,19,45
1010,20,45
1011,21,45
1012,0,46
1013,1,46
1014,2,46
1015,3,46
1016,4,46
1017,5,46
1018,6,46
1019,7,46
1020,8,46
1021,9,46
1022,10,46
1023,11,46
1024,12,46
1025,13,46
1026,14,46
1027,15,46
1028,16,46
1029,17,46
1030,18,46
1031,19,46
1032,20,46
1033,21,46
1034,0,47
1035,1,47
1036,2,47
1037,3,47
1038,4,47
1039,5,47
1040,6,47
1041,7,47
1042,8,47
1043,9,47
1044,10,47
1045,11,47
1046,12,47
1047,13,47
1048,14,47
1049,15,47
1050,16,47
1051,17,47
1052,18,47
1053,19,47
1054,20,47
1055,21,47
1056,0,48
1057,1,48
1058,2,48
1059,3,48
1060,4,48
1061,5,48
1062,6,48
1063,7,48
1064,8,48
1065,9,48
1066,10,48
1067,11,48
1068,12,48
1069,13,48
1070,14,48
1071,15,48
1072,16,48
1073,17,48
1074,18,48
1075,19,48
1076,20,48
1077,21,48
1078,0,49
1079,1,49
1080,2,49
1081,3,49
1082,4,49
1083,5,49
1084,6,49
1085,7,49
1086,8,49
1087,9,49
1088,10,49
1089,11,49
1090,12,49
1091,13,49
1092,14,49
1093,15,49
1094,16,49
1095,17,49
1096,18,49
1097,19,49
1098,20,49
1099,21,49
1100,0,50
1101,1,50
1102,2,50
1103,3,50
1104,4,50
1105,5,50
1106,6,50
1107,7,50
1108,8,50
1109,9,50
1110,10,50
1111,11,50
1112,12,50
1113,13,50
1114,14,50
1115,15,50
1116,16,50
1117,17,50
1118,18,50
1119,19,50
1120,20,50
1121,21,50
1122,0,51
1123,1,51
1124,2,51
1125,3,51
1126,4,51
1127,5,51
1128,6,51
1129,7,51
1130,8,51
1131,9,51
1132,10,51
1133,11,51
1134,12,51
1135,13,51
1136,14,51
1137,15,51
1138,16,51
1139,17,51
1140,18,51
1141,19,51
1142,20,51
1143,21,51
1144,0,52
1145,1,52
1146,2,52
1147,3,52
1148,4,52
1149,5,52
1150,6,52
1151,7,52
1152,8,52
1153,9,52
1154,10,52
1155,11,52
1156,12,52
1157,13,52
1158,14,52
1159,15,52
1160,16,52
1161,17,52
1162,18,52
1163,19,52
1164,20,52
1165,21,52
1166,0,53
1167,1,53
1168,2,53
1169,3,53
1170,4,53
1171,5,53
1172,6,53
1173,7,53
1174,8,53
1175,9,53
1176,10,53
1177,11,53
1178,12,53
1179,13,53
1180,14,53
1181,15,53
1182,16,53
1183,17,53
1184,18,53
1185,19,53
1186,20,53
1187,21,53
1188,0,54
1189,1,54
1190,2,54
1191,3,54
1192,4,54
1193,5,54
1194,6,54
1195,7,54
1196,8,54
1197,9,54
1198,10,54
1199,11,54
1200,12,54
1201,13,54
1202,14,54
1203,15,54
1204,16,54
1205,17,54
1206,18,54
1207,19,54
1208,20,54
1209,21,54
1210,0,55
1211,1,55
1212,2,55
1213,3,55
1214,4,55
1215,5,55
1216,6,55
1217,7,55
1218,8,55
1219,9,55
1220,10,55
1221,11,55
1222,12,55
1223,13,55
1224,14,55
1225,15,55
1226,16,55
1227,17,55
1228,18,55
1229,19,55
1230,20,55
1231,21,55
1232,0,56
1233,1,56
1234,2,56
1235,3,56
1236,4,56
1237,5,56
1238,6,56
1239,7,56
1240,8,56
1241,9,56
1242,10,56
1243,11,56
1244,12,56
1245,13,56
1246,14,56
1247,15,56
1248,16,56
1249,17,56
1250,18,56
1251,19,56
1252,20,56
1253,21,56
1254,0,57
1255,1,57
1256,2,57
1257,3,57
1258,4,57
1259,5,57
1260,6,57
1261,7,57
1262,8,57
1263,9,57
1264,10,57
1265,11,57
1266,12,57
1267,13,57
1268,14,57
1269,15,57
1270,16,57
1271,17,57
1272,18,57
1273,19,57
1274,20,57
1275,21,57
1276,0,58
1277,1,58
1278,2,58
1279,3,58
1280,4,58
1281,5,58
1282,6,58
1283,7,58
1284,8,58
1285,9,58
1286,10,58
1287,11,58
1288,12,58
1289,13,58
1290,14,58
1291,15,58
1292,16,58
1293,17,58
1294,18,58
1295,19,58
1296,20,58
1297,21,58
1298,0,59
1299,1,59
1300,2,59
1301,3,59
1302,4,59
1303,5,59
1304,6,59
1305,7,59
1306,8,59
1307,9,59
1308,10,59
1309,11,59
1310,12,59
1311,13,59
1312,14,59
1313,15,59
1314,16,59
1315,17,59
1316,18,59
1317,19,59
1318,20,59
1319,21,59
1320,0,60
1321,1,60
1322,2,60
1323,3,60
1324,4,60
1325,5,60
1326,6,60
1327,7,60
1328,8,60
1329,9,60
1330,10,60
1331,11,60
1332,12,60
1333,13,60
1334,14,60
1335,15,60
1336,16,60
1337,17,60
1338,18,60
1339,19,60
1340,20,60
1341,21,60
1342,0,61
1343,1,61
1344,2,61
1345,3,61
1346,4,61
1347,5,61
1348,6,61
1349,7,61
1350,8,61
1351,9,61
1352,10,61
1353,11,61
1354,12,61
1355,13,61
1356,14,61
1357,15,61
1358,16,61
1359,17,61
1360,18,61
1361,19,61
1362,20,61
1363,21,61
1364,0,62
1365,1,62
1366,2,62
1367,3,62
1368,4,62
1369,5,62
1370,6,62
1371,7,62
1372,8,62
1373,9,62
1374,10,62
1375,11,62
1376,12,62
1377,13,62
1378,14,62
1379,15,62
1380,16,62
1381,17,62
1382,18,62
1383,19,62
1384,20,62
1385,21,62
1386,0,63
1387,1,63
1388,2,63
1389,3,63
1390,4,63
1391,5,63
1392,6,63
1393,7,63
1394,8,63
1395,9,63
1396,10,63
1397,11,63
1398,12,63
1399,13,63
1400,14,63
1401,15,63
1402,16,63
1403,17,63
1404,18,63
1405,19,63
1406,20,63
1407,21,63
1408,0,64
1409,1,64
1410,2,64
1411,3,64
1412,4,64
1413,5,64
1414,6,64
1415,7,64
1416,8,64
1417,9,64
1418,10,64
1419,11,64
1420,12,64
1421,13,64
1422,14,64
1423,15,64
1424,16,64
1425,17,64
1426,18,64
1427,19,64
1428,20,64
1429,21,64
1430,0,65
1431,1,65
1432,2,65
1433,3,65
1434,4,65
1435,5,65
1436,6,65
1437,7,65
1438,8,65
1439,9,65
1440,10,65
1441,11,65
1442,12,65
1443,13,65
1444,14,65
1445,15,65
1446,16,65
1447,17,65
1448,18,65
1449,19,65
1450,20,65
1451,21,65
1452,0,66
1453,1,66
1454,2,66
1455,3,66
1456,4,66
1457,5,66
1458,6,66
1459,7,66
1460,8,66
1461,9,66
1462,10,66
1463,11,66
1464,12,66
1465,13,66
1466,14,66
1467,15,66
1468,16,66
1469,17,66
1470,18,66
1471,19,66
1472,20,66
1473,21,66
1474,0,67
1475,1,67
1476,2,67
1477,3,67
1478,4,67
1479,5,67
1480,6,67
1481,7,67
1482,8,67
1483,9,67
1484,10,67
1485,11,67
1486,12,67
1487,13,67
1488,14,67
1489,15,67
1490,16,67
1491,17,67
1492,18,67
1493,19,67
1494,20,67
1495,21,67
1496,0,68
1497,1,68
1498,2,68
1499,3,68
1500,4,68
1501,5,68
1502,6,68
1503,7,68
1504,8,68
1505,9,68
1506,10,68
1507,11,68
1508,12,68
1509,13,68
1510,14,68
1511,15,68
1512,16,68
1513,17,68
1514,18,68
1515,19,68
1516,20,68
1517,21,68
1518,0,69
1519,1,69
1520,2,69
1521,3,69
1522,4,69
1523,5,69
1524,6,69
1525,7,69
1526,8,69
1527,9,69
1528,10,69
1529,11,69
1530,12,69
1531,13,69
1532,14,69
1533,15,69
1534,16,69
1535,17,69
1536,18,69
1537,19,69
1538,20,69
1539,21,69
1540,0,70
1541,1,70
1542,2,70
1543,3,70
1544,4,70
1545,5,70
1546,6,70
1547,7,70
1548,8,70
1549,9,70
1550,10,70
1551,11,70
1552,12,70
1553,13,70
1554,14,70
1555,15,70
1556,16,70
1557,17,70
1558,18,70
1559,19,70
1560,20,70
1561,21,70
1562,0,71
1563,1,71
1564,2,71
1565,3,71
1566,4,71
1567,5,71
1568,6,71
1569,7,71
1570,8,71
1571,9,71
1572,10,71
1573,11,71
1574,12,71
1575,13,71
1576,14,71
1577,15,71
1578,16,71
1579,17,71
1580,18,71
1581,19,71
1582,20,71
1583,21,71
